fighter_id,fighter_f_name,fighter_l_name,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
823,Gabriel,Santos,175.26,145.0,177.8,1996-11-28,10,2,0,0
822,Luana,Santos,167.64,125.0,170.18,2000-04-16,6,1,0,0
820,Bob,Sapp,195.58,350.0,195.58,1974-09-22,11,20,0,0
819,Daniel,Sarafian,175.26,185.0,185.42,1982-08-21,10,6,0,0
818,Jeka,Saragih,172.72,155.0,175.26,1995-01-01,13,3,0,0
817,Diego,Saraiva,167.64,155.0,167.64,1982-04-23,22,20,1,0
816,Harris,Sarmiento,175.26,155.0,175.26,1983-09-09,36,26,0,0
815,Alexander,Sarnavskiy,180.34,155.0,180.34,1989-01-17,35,6,0,0
814,Yuki,Sasaki,187.96,185.0,187.96,1976-09-12,25,22,2,0
812,Yuta,Sasaki,177.8,125.0,180.34,1989-10-07,21,6,2,0
811,Paul,Sass,182.88,155.0,185.42,1988-08-04,14,2,0,0
810,Keisuke,Sasu,165.1,145.0,175.26,1994-09-30,11,3,1,0
809,Masaaki,Satake,185.42,220.0,185.42,1965-08-17,1,8,1,0
808,Takenori,Sato,177.8,170.0,177.8,1985-06-08,19,11,7,1.0
807,Takashi,Sato,177.8,170.0,185.42,1990-06-09,16,7,0,0
806,Jeimeson,Saudino,167.64,135.0,167.64,1991-03-05,8,5,0,0
805,Tom,Sauer,185.42,263.0,185.42,1970-11-11,25,12,0,0
803,Ben,Saunders,187.96,170.0,195.58,1983-04-13,22,13,2,0
801,Chris,Saunders,172.72,155.0,172.72,1986-03-11,16,8,0,0
800,Lumumba,Sayers,182.88,185.0,182.88,1978-06-30,6,5,0,0
799,Matt,Sayles,170.18,155.0,172.72,1994-02-21,8,4,0,0
798,Brandon,Sayles,195.58,265.0,195.58,1981-04-23,5,1,0,0
796,Eric,Schafer,190.5,185.0,193.04,1977-09-20,14,8,2,0
795,Kerry,Schall,187.96,265.0,187.96,1971-08-09,24,13,0,1.0
794,Eric,Schambari,180.34,185.0,180.34,1978-04-22,15,6,0,0
793,Brendan,Schaub,193.04,245.0,198.12,1983-03-18,10,5,0,0
792,Matheus,Scheffel,187.96,205.0,190.5,1992-11-04,14,7,0,0
791,Antonio,Schembri,175.26,205.0,175.26,1974-06-01,5,5,0,0
790,Fabiano,Scherner,190.5,257.0,190.5,1972-06-30,11,10,0,3.0
789,Samy,Schiavo,172.72,155.0,172.72,1975-12-24,10,6,0,0
788,Pat,Schilling,172.72,145.0,172.72,1988-08-28,5,2,0,0
786,Semmy,Schilt,208.28,265.0,208.28,1973-10-27,26,14,1,0
785,Adam,Schindler,172.72,155.0,172.72,1983-05-19,10,6,0,0
782,Matt,Schnell,172.72,125.0,177.8,1990-01-15,16,7,0,1.0
781,Alex,Schoenauer,190.5,185.0,190.5,1976-05-05,15,10,0,0
780,Darrill,Schoonover,187.96,220.0,187.96,1985-07-18,14,8,0,0
773,Justin,Scoggins,170.18,125.0,167.64,1992-05-02,11,5,0,0
772,Brad,Scott,185.42,170.0,193.04,1989-06-24,11,6,0,0
769,Matt,Secor,182.88,170.0,182.88,1986-09-26,8,4,0,0
767,Neil,Seery,162.56,125.0,162.56,1979-08-30,16,13,0,0
765,Ray,Sefo,182.88,240.0,182.88,1971-02-15,2,2,0,0
764,Brendan,Seguin,182.88,185.0,182.88,1976-07-03,23,19,1,0
763,Tetsuya,Seki,177.8,155.0,177.8,1994-02-08,14,8,1,0
762,Stefan,Sekulic,182.88,170.0,190.5,1992-02-12,12,4,0,0
761,Pete,Sell,180.34,170.0,190.5,1982-08-05,10,7,0,0
760,Matthew,Semelsberger,185.42,170.0,190.5,1992-11-23,11,6,0,0
759,Andrei,Semenov,182.88,185.0,182.88,1977-06-17,34,9,2,0
758,Mackens,Semerzier,175.26,145.0,182.88,1980-11-03,8,4,0,1.0
757,Brandon,Sene,180.34,205.0,180.34,1981-05-21,2,2,0,0
756,YeDam,Seo,157.48000000000002,115.0,160.02,1992-03-20,6,3,0,0
752,Alex,Serdyukov,187.96,170.0,187.96,1980-05-24,8,5,0,0
750,Matt,Serra,167.64,170.0,172.72,1974-06-02,11,7,0,0
749,Nick,Serra,175.26,170.0,175.26,1978-03-27,7,3,0,0
748,Adrian,Serrano,172.72,170.0,172.72,1963-12-23,56,29,4,0
747,Fredy,Serrano,160.02,125.0,165.1,1979-09-22,3,2,0,0
745,Dan,Severn,187.96,250.0,187.96,1958-06-08,101,19,1,0
744,Rosi,Sexton,160.02,135.0,160.02,1977-07-16,13,5,0,0
742,Edmen,Shahbazyan,187.96,185.0,190.5,1997-11-20,12,4,0,0
741,Leon,Shahbazyan,193.04,170.0,187.96,1995-11-18,7,2,0,0
740,Don,Shainis,167.64,145.0,170.18,1990-09-16,12,5,0,0
739,Liliya,Shakirova,162.56,125.0,165.1,1991-10-24,8,2,0,0
738,Kamal,Shalorus,172.72,155.0,172.72,1972-08-27,9,5,2,0
737,Ken,Shamrock,185.42,205.0,182.88,1964-02-11,28,17,2,0
736,Frank,Shamrock,177.8,185.0,177.8,1972-12-08,23,10,2,0
735,Shang,Zhifa,170.18,125.0,160.02,1986-03-15,32,8,0,0
733,Eric,Shelton,167.64,125.0,172.72,1991-02-02,12,6,0,0
732,Sean,Sherk,167.64,155.0,170.18,1973-08-05,36,4,1,0
